username,email,password,specialization,sub_specialization,experience_years,cases_handled,location,area,languages_spoken,court_experience,hourly_rate,success_rate,bio,is_available
lawyer_vanessa63,lawyer_73@short.biz,defaultpassword123,Intellectual Property,Copyright,13,86,Peshawar,Hayatabad,"English (Fluent), Urdu (Native)",Session Court,6458,89%,"They land music. Reality computer cell better audience major. Always program would either set TV. Strong office open word style.
Already benefit through maintain bar. Create certain better there.

Specializing in copyright cases in Peshawar. Handled 86+ cases with 89% success rate.",False
lawyer_jackiehill,lawyer_74@estrada-hughes.com,defaultpassword123,Immigration Law,Visas,7,73,Quetta,Samungli Road,"Urdu (Native), Sindhi (Basic), Pashto (Conversational), English (Fluent)","High Court, District Court, Session Court",10424,65%,"Until seem star defense each wait. Meet example morning I ten.
Sea board food happy sit anything. Close add expert role experience natural sport. Attorney worker that hotel never theory.

Specializing in visas cases in Quetta. Handled 73+ cases with 65% success rate.",True
lawyer_sarahbowers,lawyer_75@arellano.com,defaultpassword123,Family Law,Child Custody,23,289,Karachi,Saddar,"Pashto (Conversational), English (Fluent), Urdu (Native)","Session Court, Special Tribunals, High Court",3928,79%,"You plant her. Air score phone together.
Message boy adult box. Ok finally form. Arm herself interview team sure action father.

Specializing in child custody cases in Karachi. Handled 289+ cases with 79% success rate.",False
lawyer_alexanderdakota,lawyer_76@ross-short.info,defaultpassword123,Criminal Law,Drug Offenses,7,322,Islamabad,F-8,"Punjabi (Conversational), Pashto (Conversational)","District Court, Session Court",19774,61%,"Style team skin argue Democrat including trade accept. Team fear knowledge air. Attack against opportunity direction television Mr.

Specializing in drug offenses cases in Islamabad. Handled 322+ cases with 61% success rate.",True
lawyer_cbennett,lawyer_77@moore-leblanc.biz,defaultpassword123,Criminal Law,Violent Crimes,5,288,Peshawar,Hayatabad,"Sindhi (Basic), Urdu (Native), English (Fluent), Punjabi (Conversational)","Session Court, Special Tribunals, District Court",10334,66%,"Region student trouble recent character by what. Phone sport after. Teach hundred consider mind operation result there.
Pay price relationship operation may. And start number decade.

Specializing in violent crimes cases in Peshawar. Handled 288+ cases with 66% success rate.",True
lawyer_williamsrussell,lawyer_78@waters.org,defaultpassword123,Corporate Law,Contracts,20,292,Lahore,Gulberg,"English (Fluent), Urdu (Native), Sindhi (Basic)","High Court, Special Tribunals, District Court",15069,78%,"Short health push later inside parent travel. Term matter individual real. Area office begin cause think conference.
Agree recognize magazine capital fall soon. Girl garden employee many agreement.

Specializing in contracts cases in Lahore. Handled 292+ cases with 78% success rate.",False
lawyer_elizabethpatterson,lawyer_79@robinson.org,defaultpassword123,Criminal Law,Drug Offenses,20,454,Peshawar,Hayatabad,"Urdu (Native), Pashto (Conversational), Sindhi (Basic)","High Court, Special Tribunals",6919,69%,"Language reach mother share party that blue indicate.
Bank high maybe clearly. Radio major see fear.
Pm important fill seat issue. Issue the challenge certainly according rise.

Specializing in drug offenses cases in Peshawar. Handled 454+ cases with 69% success rate.",False
lawyer_jeff85,lawyer_80@brooks-fitzgerald.com,defaultpassword123,Corporate Law,Mergers,25,50,Peshawar,University Town,"Punjabi (Conversational), English (Fluent), Pashto (Conversational)","District Court, Session Court",8222,65%,"Risk structure would. Table join other whole behavior. See book sell condition lay store.
Life station image tend hundred example medical his.

Specializing in mergers cases in Peshawar. Handled 50+ cases with 65% success rate.",False
lawyer_rachel94,lawyer_81@malone.org,defaultpassword123,Family Law,Adoption,13,440,Quetta,Jinnah Town,"Sindhi (Basic), Punjabi (Conversational), Urdu (Native)",District Court,18424,60%,"Action low crime office everything let nice. What size pressure simply doctor.
At film down. Coach task stuff environment. Now or court discuss state east role.

Specializing in adoption cases in Quetta. Handled 440+ cases with 60% success rate.",True
lawyer_jacobmartinez,lawyer_82@ramirez.com,defaultpassword123,Corporate Law,Compliance,22,270,Peshawar,Hayatabad,"English (Fluent), Punjabi (Conversational), Sindhi (Basic), Urdu (Native)","High Court, Special Tribunals",12214,64%,"Money act anything.
Board that national writer interview main. Opportunity world civil option beautiful paper myself day. Very agency national probably little draw.

Specializing in compliance cases in Peshawar. Handled 270+ cases with 64% success rate.",False
lawyer_melissagonzalez,lawyer_83@liu.net,defaultpassword123,Intellectual Property,Copyright,15,431,Islamabad,F-8,"Sindhi (Basic), Urdu (Native), Pashto (Conversational), Punjabi (Conversational)",Session Court,11548,62%,"Beat page since note middle also. What face behind war American oil half.

Specializing in copyright cases in Islamabad. Handled 431+ cases with 62% success rate.",True
lawyer_ledwards,lawyer_84@martin.com,defaultpassword123,Property Law,Land Disputes,17,48,Lahore,Model Town,"Urdu (Native), Punjabi (Conversational)","District Court, Session Court, Special Tribunals",6929,95%,"Significant forward final control.
Hospital they thank far. Itself hand fly may store.

Specializing in land disputes cases in Lahore. Handled 48+ cases with 95% success rate.",False
lawyer_philip74,lawyer_85@maxwell.org,defaultpassword123,Criminal Law,Drug Offenses,22,333,Islamabad,Blue Area,"Punjabi (Conversational), Sindhi (Basic)","Session Court, District Court, High Court",17406,91%,"Bed thought require future then suffer. Each sign decide father nature management specific. Even behavior pressure office. Cause movement population.

Specializing in drug offenses cases in Islamabad. Handled 333+ cases with 91% success rate.",True
lawyer_wcross,lawyer_86@gonzalez-thompson.com,defaultpassword123,Civil Rights,Police Brutality,23,318,Islamabad,F-8,"Pashto (Conversational), Urdu (Native), English (Fluent)","Special Tribunals, Session Court, High Court",3682,80%,"Under animal positive recent. Successful involve fill up leg vote dream. Foreign manage international key.

Specializing in police brutality cases in Islamabad. Handled 318+ cases with 80% success rate.",False
lawyer_geraldvillanueva,lawyer_87@oconnell.com,defaultpassword123,Family Law,Divorce,23,102,Islamabad,F-8,"Punjabi (Conversational), English (Fluent), Urdu (Native)","High Court, Session Court",6262,93%,"Class mission we you bad. Decide wish physical firm respond firm identify.
Since baby single happen. Research site guess third alone.

Specializing in divorce cases in Islamabad. Handled 102+ cases with 93% success rate.",True
lawyer_peterspaul,lawyer_88@waters.com,defaultpassword123,Intellectual Property,Trademarks,24,230,Peshawar,Hayatabad,"Pashto (Conversational), English (Fluent)","Session Court, High Court",2233,72%,"Once care item tell although fire somebody. Past perhaps stop affect woman person experience.

Specializing in trademarks cases in Peshawar. Handled 230+ cases with 72% success rate.",True
lawyer_alivingston,lawyer_89@morton-cherry.net,defaultpassword123,Criminal Law,White Collar Crimes,17,385,Karachi,Clifton,"Punjabi (Conversational), Pashto (Conversational), English (Fluent)",Session Court,9260,78%,"Song game power born. Quickly grow feel this dinner continue.

Specializing in white collar crimes cases in Karachi. Handled 385+ cases with 78% success rate.",False
lawyer_luis08,lawyer_90@anthony.info,defaultpassword123,Family Law,Divorce,9,307,Peshawar,Hayatabad,"Sindhi (Basic), Pashto (Conversational)","Session Court, High Court, Special Tribunals",16933,79%,"Program program threat know child. System example low Republican charge act. Body attention experience floor significant hot. Agreement thought impact government street material figure.

Specializing in divorce cases in Peshawar. Handled 307+ cases with 79% success rate.",True
lawyer_ryananthony,lawyer_91@jones-fitzpatrick.com,defaultpassword123,Civil Rights,Police Brutality,3,142,Peshawar,University Town,"Punjabi (Conversational), Sindhi (Basic), Urdu (Native)","Session Court, District Court",3207,63%,"Identify woman smile cost thus financial newspaper. Draw fight bad somebody.
From various population expert such. Structure more than various opportunity north.

Specializing in police brutality cases in Peshawar. Handled 142+ cases with 63% success rate.",True
lawyer_wellsdawn,lawyer_92@martin.com,defaultpassword123,Corporate Law,Compliance,9,484,Lahore,DHA,"Urdu (Native), Punjabi (Conversational)","High Court, Session Court",5987,67%,"Play cause protect involve stay trial tonight assume. Politics significant against fact arrive identify coach. Star central window us give.
Knowledge service leave international there end everybody.

Specializing in compliance cases in Lahore. Handled 484+ cases with 67% success rate.",False
lawyer_lfleming,lawyer_93@carter.com,defaultpassword123,Immigration Law,Citizenship,1,368,Islamabad,F-8,"English (Fluent), Urdu (Native), Punjabi (Conversational), Sindhi (Basic)","High Court, District Court, Session Court",12304,91%,"Whose pull long born. Notice nor right realize. Opportunity to herself when.

Specializing in citizenship cases in Islamabad. Handled 368+ cases with 91% success rate.",False
lawyer_tyler84,lawyer_94@graham-summers.org,defaultpassword123,Criminal Law,White Collar Crimes,12,52,Peshawar,Hayatabad,"English (Fluent), Urdu (Native), Sindhi (Basic), Pashto (Conversational)","Special Tribunals, Session Court",2883,80%,"Election task system positive consumer theory. Four institution official data alone. Total would race impact.

Specializing in white collar crimes cases in Peshawar. Handled 52+ cases with 80% success rate.",False
lawyer_uespinoza,lawyer_95@garcia.com,defaultpassword123,Family Law,Adoption,14,92,Quetta,Jinnah Town,"Urdu (Native), English (Fluent), Pashto (Conversational)","Special Tribunals, High Court, Session Court",3799,74%,"Federal but tell everyone exactly what stuff catch. Three he hospital most whom spend.

Specializing in adoption cases in Quetta. Handled 92+ cases with 74% success rate.",False
lawyer_omckay,lawyer_96@burton.com,defaultpassword123,Immigration Law,Deportation,1,362,Quetta,Jinnah Town,"Urdu (Native), Pashto (Conversational), English (Fluent)","High Court, Special Tribunals, District Court",14486,94%,"Morning third realize meeting would. Firm bank son second office miss table. Mother news give from seven value.

Specializing in deportation cases in Quetta. Handled 362+ cases with 94% success rate.",True
lawyer_ucook,lawyer_97@wright.org,defaultpassword123,Property Law,Rental Issues,5,478,Peshawar,University Town,"Pashto (Conversational), Punjabi (Conversational), English (Fluent), Sindhi (Basic)","High Court, District Court",6879,65%,"Thank happen control top clear reveal. Level finish relationship performance resource make.

Specializing in rental issues cases in Peshawar. Handled 478+ cases with 65% success rate.",True
lawyer_dbailey,lawyer_98@ramos.com,defaultpassword123,Immigration Law,Deportation,2,378,Lahore,DHA,"Punjabi (Conversational), English (Fluent), Sindhi (Basic)","Special Tribunals, Session Court",5294,83%,"Success along hard blood cell type right. Finally memory join rich reason.
Company born leg star. Seem fill analysis government.

Specializing in deportation cases in Lahore. Handled 378+ cases with 83% success rate.",True
lawyer_joannagreene,lawyer_99@hamilton-turner.com,defaultpassword123,Intellectual Property,Patents,22,135,Peshawar,University Town,"English (Fluent), Sindhi (Basic)",Session Court,5890,78%,"Think degree step somebody memory response. Himself pull physical economic agreement thousand summer peace. Real group once south argue just own point.

Specializing in patents cases in Peshawar. Handled 135+ cases with 78% success rate.",False
lawyer_chanbrian,lawyer_100@shelton-mendoza.com,defaultpassword123,Immigration Law,Deportation,18,425,Quetta,Jinnah Town,"Urdu (Native), Pashto (Conversational), English (Fluent), Punjabi (Conversational)","High Court, Special Tribunals, District Court",16372,69%,"Wear no watch. Anyone recent area political whose brother discover. Sit professional it such.
Run personal and crime. Five hope work prove.
Peace field success. Probably cold Republican development.

Specializing in deportation cases in Quetta. Handled 425+ cases with 69% success rate.",True
